id,headline,description,publication_date,source,url
187815,"La UE reivindica la importancia de su kit de supervivencia de 72 horas tras el gran apagón: ""Es justo uno de los escenarios que plantea nuestra estrategia""","El tono elegido por la comisaria de Preparación, Gestión de Crisis e Igualdad, Hadja Lahbib, para su presentación fue criticado por muchos. Incluso el contenido de la estrategia...",2025-04-29T10:57:28,El Mundo,https://www.elmundo.es/internacional/2025/04/29/6810ac0de4d4d818498b457b.html
319588,Los bulos lucen durante el apagón,"En momentos de oscuridad, ya sea informativa o —como el pasado lunes— literal, una de las cosas que con más fuerza lucen son los bulos y la desinformación. Pese a las llamadas de las autoridades para que la ciudadanía solo recurriera a fuentes oficiales —escasas y tardías durante el apagón—, la información a menudo queda tergiversada por mentiras bien elaboradas que hasta los medios acaban difundiendo por la urgencia informativa y la supuesta apariencia de veracidad. En el caso de las horas en el que la península quedó sin luz, las fake news empezaron a campar a sus anchas desde los primeros minutos.",2025-04-29T11:13:29,La Vanguardia,https://www.lavanguardia.com/vida/20250429/10628052/bulos-lucen-apagon.html
387558,Seis comunidades autónomas piden desactivar el nivel 3 de emergencia por el apagón y solo dos lo mantienen,Los presidentes López Miras y Rueda han pedido desactivar el nivel 3 solicitado este lunes.,2025-04-29T11:23:52,20minutos,https://www.20minutos.es/noticia/5704880/0/murcia-galicia-piden-bajar-nivel-2-emergencia-para-recuperar-gestion-autonomica-tras-apagon/
11431,Feijóo arremete contra el Gobierno “sobrepasado” por el apagón y critica la gestión “ideológica” del sistema energético,"Ante los líderes europeos presentes en el congreso del PPE, el vicesecretario popular González Pons acusa al Ejecutivo de mentir sobre la caída total de la electricidad",2025-04-29T11:50:38,El País,https://elpais.com/espana/2025-04-29/feijoo-arremete-contra-el-gobierno-sobrepasado-por-el-apagon-y-critica-la-gestion-ideologica-del-sistema-energetico.html
470517,La OTAN sigue la situación por el apagón pero señala que corresponde a España y Portugal investigar las causas,La OTAN está siguiendo la situación en España y Portugal tras el apagón masivo registrado en la península...,2025-04-29T13:23:39,Europa Press,https://www.europapress.es/internacional/noticia-otan-sigue-situacion-apagon-senala-corresponde-espana-portugal-investigar-causas-20250429132339.html
604993,"Ayuso, Abascal, Feijóo y Mazón: carroñeros del apagón; por Alán Barroso",Solo hay algo más oscuro que el apagón de ayer: el nivel de algunos políticos. Ayuso lo tiene claro: la culpa del apagón es del sectarismo de Pedro Sánchez. Literal. Nos apagamos porque votamos mal.,2025-04-29T15:00:00,Huffington Post,https://www.huffingtonpost.es/politica/ayuso-abascal-feijoo-mazon-carronerosapagonan-barroso.html
548593,Sánchez señala a REE y las eléctricas por el apagón y ataca a las nucleares: “Más que una solución han sido un problema”,"El Gobierno se moviliza para llegar hasta el fondo de las causas del apagón masivo que paralizó España. El Consejo de Seguridad Nacional lanza una comisión de investigación para determinar los motivos del colapso total del sistema eléctrico, según ha confirmado el presidente Pedro Sánchez, tras el Consejo de Ministros monográfico sobre la crisis eléctrica. El presidente ha advertido su intención de “exigir las responsabilidades pertinentes a todos los operadores privados” por el caos vivido ayer.",2025-04-29T15:18:01,El Periódico,https://www.elperiodico.com/es/economia/20250429/apagon-sanchez-ree-electricas-nucleares-116866697
78359,"Después del apagón, fuertes lluvias este miércoles en la mitad occidental de Andalucía","La Aemet anuncia una mañana complicada en Huelva, Sevilla y Cádiz",2025-04-29T15:48:48,La Razón,https://www.larazon.es/andalucia/despues-apagon-fuertes-lluvias-este-miercoles-mitad-occidental-andalucia_202504296810d8c0319ae75da4bb9c13.html
448825,¿Qué hacer con los alimentos de la nevera tras el apagón eléctrico?,"Las autoridades sanitarias advierten que, tras más de cuatro horas sin refrigeración, muchos alimentos dejan de ser seguros.",2025-04-29T18:03:01,Libertad Digital,https://www.libertaddigital.com/ciencia-tecnologia/salud/2025-04-29/que-hacer-con-los-alimentos-de-la-nevera-tras-el-apagon-electrico-7248466/
222100,"'Informe Público, Especial Apagón': así ha sido la gestión y reacción política","El 29 de abril, España vivió el apagón más grande de su historia, dejando a millones de personas sin electricidad y generando caos en transporte, comunicaciones y servicios esenciales.",2025-04-29T19:30:00,Público,https://www.publico.es/politica/gobierno/video-informe-publico-especial-apagon-asi-sido-gestion-reaccion-politica.html
387826,"El Gobierno evita atarse a Red Eléctrica, quita peso a sus explicaciones y mantiene viva la tesis del ciberataque",Moncloa no aclara el origen del apagón y muestra su malestar con la operadora porque cree que ha ofrecido información sin tener aún certezas,2025-04-30T05:00:23,20minutos,https://www.20minutos.es/noticia/5705120/0/gobierno-evita-atarse-red-electrica-quita-peso-sus-explicaciones-mantiene-viva-tesis-ciberataque/
248916,Cero energético: te contamos las causas del gran apagón,Un cero energético no significa literalmente que no haya nada de electricidad en todo el país,2025-04-30T06:15:19,OKDiario,https://okdiario.com/okgreen/cero-energetico-te-contamos-causas-del-gran-apagon-14688876
137451,La desaladora de Carboneras retoma su actividad tras el apagón y garantiza el suministro en el Levante de A...,La planta está produciendo agua en cinco de sus bastidores y se retoma la normalidad en el abastecimiento,2025-04-30T09:27:41,ABC,https://www.abc.es/espana/andalucia/almeria/desaladora-carboneras-retoma-actividad-tras-apagon-garantiza-20250430092350-nts.html
449090,"Beatriz Corredor aparece casi 48 horas después del apagón: ""No volverá a ocurrir""","Corredor, que sigue sin dar la cara, ha asegurado en una entrevista telefónica que ""hemos aprendido"" del apagón.",2025-04-30T09:52:35,Libertad Digital,https://www.libertaddigital.com/libremercado/2025-04-30/beatriz-corredor-aparece-casi-48-horas-del-apagon-no-volvera-a-ocurrir-7248762/
320102,Los autobuses de TMB baten el récord histórico de pasajeros en el apagón,"Después del récord histórico de viajeros del metro de Barcelona, el pasado día 23, diada de Sant Jordi, este lunes fueron los autobuses de Transports Metropolitans de Barcelona (TMB) los que pulverizaron todos los registros al convertirse en una de las pocas opciones para desplazarse por la ciudad y los municipios más próximos durante las largas horas del apagón del lunes. Durante esta jornada los autobuses de TMB transportaron a 1.250.000 pasajeros.",2025-04-30T10:00:00,La Vanguardia,https://www.lavanguardia.com/local/barcelona/20250430/10631953/autobuses-tmb-baten-record-historico-pasajeros-apagon.html
548830,"Así se vivió el apagón en la Cañada Real: ""Nosotras lo vivimos cada noche desde 2020""","""Por primera vez en mucho tiempo en Cañada estamos en mejores condiciones que en el resto de España"", denunciaban desde la Asociación Cultural de Mujeres Tabadol del sector VI de la Cañada Real Galiana de Madrid tras el apagón. Un corte eléctrico que afectó en esta ocasión a todos los españoles, incluidos a los vecinos de la Cañada Real que llevan alrededor de cinco años denunciando la falta de suministro eléctrico. ""Fue doloroso. Lo vivimos con una mezcla de indignación, impotencia y tristeza. Para el resto del país fue un suceso excepcional que duró unas horas, pero para nosotras se replicaba todo lo que hemos vivido desde 2020, fue un espejo que mostró por un día lo que vivimos cada noche"", confiesa su presidenta Houda Akrikez a El Periódico de España.",2025-04-30T10:18:03,El Periódico,https://www.elperiodico.com/es/sociedad/20250430/canada-real-apagon-espana-116893822
78831,La DGT recuerda cómo se deben realizar los cruces cuando no hay semáforos ni señales,"Durante el apagón se apagaron, lo que modificó el orden de prioridad. Ante ello, hay que volver a los principios básicos de circulación",2025-04-30T11:30:14,La Razón,https://www.larazon.es/sociedad/dgt-recuerda-como-deben-realizar-cruces-cuando-hay-semaforos-senales-p7m_202504306811ebd4e52da91ed533f47d.html
605243,Las eléctricas tienen de plazo hasta esta tarde para entregar sus datos sobre el apagón al Gobierno,"El Gobierno ha dado de plazo hasta esta tarde a las compañías eléctricas para que entreguen los datos de los centros de control que dependen de ellas a fin de averiguar las causas del apagón que afectó el lunes a la España peninsular, ha explicado este miércoles Beatriz Corredor, presidenta de Redeia, matriz de Red Eléctrica.",2025-04-30T14:07:38,Huffington Post,https://www.huffingtonpost.es/politica/electricas-plazo-tarde-entregar-datos-gobierno-apagon-masivo.html
222145,El Gobierno pide máxima rapidez a los operadores eléctricos para que envíen los datos sobre el apagón,Este miércoles tendrá lugar la primera reunión del comité de análisis creado por el Ejecutivo de Sánchez para investigar lo sucedido con el corte de suministro eléctrico. ...,2025-04-30T14:59:37,Público,https://www.publico.es/politica/gobierno/gobierno-pide-maxima-rapidez-operadores-electricos-envien-datos-sobre-apagon.html
11771,"Beatriz Corredor: “El riesgo cero no existe, que se lo digan a Francia o a Italia, que han tenido problemas similares”","La presidenta de Redeia asegura que el fallo que provocó el apagón no estuvo en Red Eléctrica. Y añade: “No es cierto que la nuclear sea más segura para el suministro, ni que las renovables hagan más vulnerable el sistema”",2025-04-30T21:55:51,El País,https://elpais.com/economia/2025-04-30/beatriz-corredor-no-es-cierto-que-la-nuclear-sea-mas-segura-para-el-suministro-ni-que-la-las-renovables-hagan-mas-vulnerable-el-sistema.html
44921,Lo que está detrás del apagón,"El Gobierno intenta transmitir confianza en el sistema eléctrico a pesar de lo ocurrido: ""Entendemos que esto va a ser un incidente aislado, pero no sabemos cuál ha sido el origen"". Las dos partes de la frase pueden sonar un poco contradictorias",2025-04-30T22:03:42,ElDiario.es,https://www.eldiario.es/politica/detras-apagon_129_12261388.html
